@relation comments-weka.filters.unsupervised.instance.RemovePercentage-P50.0
@attribute comment string
@attribute classification {TEST,IMPLEMENTATION,DESIGN,DEFECT,DOCUMENTATION}
@data
'// TODO: Needs to be tidied up after stable release. Graph model // should be created in constructor','DESIGN'
'// TODO: we should be given an Undo manager to use rather than looking // for a global one','DESIGN'
'/* TODO: Replace the next deprecated call. This case is complicated \n         * by the use of parameters. All other Figs work differently. */','DESIGN'
"/**\n * Class to display graphics for a UML Choice State in a diagram - the circle.\n *\n * TODO: This should really be renamed FigChoiceState.  It's the\n * last vestige of the UML 1.3 name.\n *\n * @author pepargouml\n */",'DESIGN'
'// TODO: Needs to be tidied up after stable release. Graph model // should be created in constructor','DESIGN'
"// TODO: Rather than specifically ignore some item maybe it would be better // to specifically state what items are of interest. Otherwise we may still // be acting on other events we don't need",'DESIGN'
'// TODO: What is this needed for? - tfm','DESIGN'
'/* The next 4 lines fix the 2nd half of issue 5638.\n         * Is there no better way? */','DESIGN'
'/**\n     * Return a list of gravity points around circle which is enclosed\n     * in the bounding box.  Convenience method for use by FigInitialState\n     * and FigFinalState.\n     * TODO: As this method is not required by all sub classes,\n     * it would seem sensible to extend FigStateVertex with FigCircleVertex\n     * and only have the relevant concrete Figs extend that and gain this\n     * functionality.\n     * @return a List of Points\n     */','DESIGN'
"/**\n     * To resize only when a new concurrent region is added,\n     * changing the height.\n     * TODO: Probably shouldn't\n     * exist as this class should be listening for added concurrent regions\n     * and call this internally itself.\n     *\n     * @param h the new height\n     */",'DESIGN'
"// TODO: Rather than specifically ignore some item maybe it would be better // to specifically state what items are of interest. Otherwise we may still // be acting on other events we don't need",'DESIGN'
"// TODO: Aren't our items always strings? - tfm 20100917",'DESIGN'
'/**\n     * Actually instanciate the NetNode and FigNode objects and\n     * set the global next mode to ModePlace\n     * TODO: should call super, reduce code volume!\n     *\n     * @see org.tigris.gef.graph.GraphFactory#makeNode()\n     */','DESIGN'
'// TODO: This logic may well be worth moving into the model component. // Provide a similar grid to the connectionsGrid','DESIGN'
'// TODO ? if this class listen the model, it will be able to // change in live as it is done in the figs (diagram)','DESIGN'
'// TODO : Redo it (curBody should be as long as curLanguage+button)','DESIGN'
'// TODO: Needs to be tidied up after stable release. Graph model // should be created in constructor','DESIGN'
'/**\n\t * When we change the type, we need to create a new Initial Value. And\n\t * to display the Panel\n\t *\n\t * TODO: if we select the same type that the current, do nothing.\n\t */','DESIGN'
"// TODO: We definitely don't want to react to addition and // removal of transitions. Can't we be more specific when // we register ourselves as a listener.",'DESIGN'
'/**\n     * The target model element\n     * In UML1.x this is the element that owns the expression.\n     * In UML2.x this is the expression itself\n     * TODO: This makes behaviour different enough that separate subclasses\n     * should be considered.\n     */','DESIGN'
'/**\n     * Field TODO: TextArea or TextField\n     */','DESIGN'
"// TODO: Rather than specifically ignore some item  // maybe it would be better to specifically state  // what items are of interest. Otherwise we may still // be acting on other events we don't need",'DESIGN'
'// TODO: This can be a mess... There are any better solution?','DESIGN'
'/**\n     * TODO: Use it notify Set to true to forward events to model. Only one of\n     * Language and Body fields should have this set to true.\n     */','DESIGN'
'/* TODO: If this is an ordered list, then you have to\n                                    add in the right location! */','DESIGN'
'/*\n     * @see java.beans.PropertyChangeListener#propertyChange(java.beans.PropertyChangeEvent)\n     *\n     * TODO: This should be reviewed to see if it can be improved with a view\n     * towards removing some of the overrriding methods used as workarounds for\n     * differences between NSUML and MDR - tfm - 20060302\n     */','DESIGN'
'// TODO: This is a redundant invocation','DESIGN'
'// Get all classifiers in our model // TODO: We need the property panels to have some reference to // the project they belong to instead of using deprecated // functionality','DESIGN'
'/**\n         * TODO: Copied from UmlDiagramRenderer.\n         *\n         * Get the FigNode from the given layer that represents the given\n         * model element.\n         * The FigNode portion of an association class is returned in preference\n         * to the FigEdge portion.\n         * If no FigNode is found then a FIgEdge is searched for and the FigNode\n         * that acts as its edge port is returned.\n         * @param lay the layer containing the Fig\n         * @param modelElement the model element to find presentation for\n         * @return the FigNode presentation of the model element\n         */','DESIGN'
'// TODO: build a return parameter','DESIGN'
'// TODO: getAllPossibleSubvertices and getAllSubStates are duplicates - tfm','DESIGN'
'// TODO: how to merge multiple inheritance? Necessary? // This currently copies the common ancestors multiple times','DESIGN'
"// TODO: This can't depend on ProjectBrowser.  Alternate below",'DESIGN'
'// TODO: This is a composite association, so these will get deleted // automatically.  The only thing we need to do is check for any // additional elements that need to be deleted as a result.','DESIGN'
'// TODO: This is well-formedness rule from UML1.4.2 // 4.5.3.20 [2] No GeneralizableElement can have a parent // Generalization to an element that is a leaf. // self.parent->forAll(s | not s.isLeaf)','DESIGN'
'// Check arguments against parameters for type and number // TODO: Perhaps move this to a critic instead? - tfm - 20070326','DESIGN'
'// TODO: Add standard stereotype?  Set is open ended, but // predefined names include: call, create, instantiate, send','DESIGN'
'// TODO: Is there anyway we can determine this size at runtime?','DESIGN'
'// TODO: Taken from FigClassifierBoxWithAttribute to handle events // on an attribute. All this event handling should eventually be moved // to the compartment Fig for attributes','DESIGN'
"/**\n     * We are getting events we don't want. Filter them out.\n     * TODO: Can we instruct the model event pump not to send these in the\n     * first place? See defect 5095.\n     * @param event the event\n     */",'DESIGN'
'/*\n             * modelImpl.getFacade().getRootElements()  gets all root elements\n             * in the UML repository, including available profiles that are not\n             * part of the current project (degrades performance).\n             *\n             * ProjectManager.getManager().getCurrentProject().getRoots() only\n             * returns user model roots, and no profiles.\n             *\n             * ProjectManager.getManager().getCurrentProject().getModels() gets\n             * all root models, but no root namespaces.\n             *\n             * TODO: Which is best? Is there any other way?\n             */','DESIGN'
"/*\n     * TODO: As currently coded, this actually returns all BehavioralFeatures\n     * which are owned by Classifiers contained in the given namespace, which\n     * is slightly different then what's documented.  It will not include any\n     * BehavioralFeatures which are part of the Namespace, but which don't have\n     * an owner.\n     */",'DESIGN'
'// TODO: Performance. Consider instantiating this just // once outside the for loops and clear at this point // instead.','DESIGN'
"/*\n     * Delete a model element.  Implements 'cascading delete' to make sure\n     * model is still valid after element has been deleted.<p>\n     *\n     * The actual deletion is delegated to delete methods in the rest of the\n     * factories. For example: a method deleteClass exists on CoreHelper. Delete\n     * methods as deleteClass should only do those extra actions that are\n     * necessary for the deletion of the modelelement itself. I.e. deleteClass\n     * should only take care of things specific to UmlClass.<p>\n     *\n     * The delete methods in the UML Factories should not be called directly\n     * throughout the code! Calls should always refer to this method and never\n     * call the deleteXXX method on XXXFactory directly. The reason that it is\n     * possible to call the deleteXXX methods directly is a pure implementation\n     * detail.<p>\n     *\n     * The implementation of this method uses a quite complicated if/then/else\n     * tree. This is done to provide optimal performance and full compliance to\n     * the UML 1.4 metamodel. The last remark refers to the fact that the\n     * UML 1.4 model uses multiple inheritance in several places.\n     * This has to be taken into account.<p>\n     *\n     * TODO: The requirements of the metamodel could probably be better\n     * determined by reflection on the metamodel.  Then each association\n     * that a deleted element participates in could be reviewed to make sure\n     * that it meets the requirements and, if not, be deleted. - tfm<p>\n     *\n     * Extensions and its children are not taken into account here. They do not\n     * require extra cleanup actions. Not in the form of a call to the remove\n     * method as is normal for all children of MBase and not in the form of\n     * other behaviour we want to implement via this operation.\n     *\n     * @param elem\n     *            The element to be deleted\n     *\n     * @see org.argouml.model.UmlFactory#delete(java.lang.Object)\n     */",'DESIGN'
"// Don't allow connections to be created from a read only // model element to any other // TODO: This should be considered a workaround.  It only works // because, by default, we place newly created relationships in // the namespace of the fromElement.  The correct behavior in // the presence of read-only elements really depends on the type of // connection as well as the writeability of both ends.",'DESIGN'
'// TODO: Taken from FigClassifierBoxWithAttribute to handle events // on an attribute. All this event handling should eventually be moved // to the compartment Fig for attributes','DESIGN'
'/**\n     * An array of valid connections, the combination of connecting class and\n     * node classes must exist as a row in this list to be considered valid.\n     * <ul>\n     * <li>The 1st column is the connecting element.\n     * <li>The 2nd column is the "from" element type.\n     * <li>The 3rd column is the "to" element type.\n     * The 3rd column is optional, if not given then it is assumed to be\n     * the same as the "from" element.\n     * <li>The existence of a 4th column indicates that the connection is valid\n     * in one direction only.\n     * </ul>\n     * TODO: This encodes not only what is legal in UML, but also what ArgoUML\n     * knows how to create, so not all legal connections are included. Probably\n     * should be split into two pieces: 1) legal UML (here) and 2) supported (in\n     * ArgoUML application someplace) - tfm - 20060325<p>\n     * See also issue 3863.<p>\n     *\n     * Most of these are subtypes of Relationship which includes Association,\n     * Dependency, Flow, Generalization, Extend, and Include. Dependency\n     * includes Binding, Abstraction, Usage, and Permission. AssociationRole and\n     * AssociationClass are Associations. The remaining items (Link, Transition,\n     * AssociationEnd, Message) are non-Relationship types which ArgoUML treats\n     * as connections/edges.\n     */','DESIGN'
'// TODO: check for duplicates (is this possible???)','DESIGN'
'// TODO: We also have code registering for the names of // a tagged value like "derived"','DESIGN'
'/**\n     * Recursive method to get all subtypes.\n     *\n     * TODO: Does this have a scalability problem?\n     */','DESIGN'
'// TODO: Bob says - we should not be listening here for // addition and removal of attributes. This should be done in // FigAttributesCompartment.','DESIGN'
"// Don't wait on ourselves, we'll deadlock! // TODO: We might want to throw an exception here",'DESIGN'
'// TODO: Must we calculate the whole list?','DESIGN'
'// TODO: replace this recursive function by a loop like in getRoot:','DESIGN'
"// TODO: Because we get called on each and every change event, when // the model is in a state of flux, we'll often get an // InvalidElementException before we finish this collection. The // only saving grace is that we're called SO many times that on the // last time, things should be stable again and we'll get a good set // of elements for the final update.  We need a better mechanism.",'DESIGN'
'/**\n     * Updates a compartment box. Called from updateLayout if there is\n     * a model event effecting the attributes/operations and from\n     * renderingChanged in all cases.\n     * TODO: The above statement means that the entire contents of the\n     * compartments are being rebuilt whenever an add/remove\n     * of an attribute, operation or a reception is detected. It would be\n     * better to have compartments listen for add and remove events\n     * and make minimum change rather than entirely rebuild. \n     * Remark MVW: This is a bit exaggerated, since the populate() \n     * method is already heavily optimized.\n     */','DESIGN'
'// TODO: Reconfigure exception handling to distinguish between errors // that are possible due to bad input data and those that represent // unexpected processing errors.','DESIGN'
'// TODO: Callers will need to be refactored to work around the // change in the way multiplicities work - tfm','DESIGN'
"// and its stereotypes // TODO: Aren't stereotypes handled elsewhere?",'DESIGN'
"// TODO: Because we get called on each and every change event, when // the model is in a state of flux, we'll often get an // InvalidElementException before we finish this collection. The // only saving grace is that we're called SO many times that on the // last time, things should be stable again and we'll get a good set // of elements for the final update.  We need a better mechanism.",'DESIGN'
"// TODO: Some elements such as Generalization are // no longer named.  For a transitional period we'll // return a String so debug can continue, but the // calling code should probably be fixed. - tfm 20070607 // Bob says - these are the comments that were in // FacadeEUMLImpl.getName. Same trick is needed here // for now.",'DESIGN'
'/**\n     * Map of which resources are read-only.\n     * <p>\n     * TODO: This needs to be managed per EditingDomain.\n     */','DESIGN'
'/**\n\t * TODO: mvw: Would it not be better if this code\n\t * would go in startTextEditor(), not overruling mouseClicked().\n\t * But we made this fig not editable,\n\t * to stop it from reacting on key-presses.\n\t * Anyhow - this is a hack - abusing a FigText - GEF does\n\t * not really support double-clicking on a Fig to trigger some action.\n\t */','DESIGN'
'// TODO: Does CoreHelper#getExtendingClassifiers(Object element) means // all direct and indirect extending classifiers or only the direct // extending classifiers?','DESIGN'
'// TODO: This code appears to be designed to jump to the diagram // containing the contents of the package that was double clicked // but it looks like it\'s always searching for the name "main" // instead of the package name. // TODO: But in any case, it should be delegating this work to // to something that knows about the diagrams and they contents -tfm','DESIGN'
'// TODO: What is the behavior of this in the case of nested models?','DESIGN'
'// TODO: Is this returning extended elements or base classes?','DESIGN'
"// TODO: InstanceSpecification -> Classifier association isn't // navigable in this direction",'DESIGN'
'// A model element has been removed from this packages namespace // If the Fig representing that model element is on the same // diagram as this package then make sure it is not enclosed by // this package. // TODO: In my view the Fig representing the model element should be // removed from the diagram. Yet to be agreed. Bob.','DESIGN'
'// TODO: seems to work only with both loops, check why.','DESIGN'
'// TODO: This needs to be double checked. - tfm','DESIGN'
'/**\n     * USED BY PGML.tee.\n     * @return the class name and bounds together with compartment\n     * visibility.\n     * TODO: Is this not duplicate with the parent?\n     */','DESIGN'
"/**\n * This node cannot be dragged and manipulated in the same way as other\n * FigNodes in ArgoUML. It is actually an optional child fig (or more precisely\n * a path item) of a FigEdgeModelElement.\n * This allows the dashed edge of an association class to connect the\n * association edge and allows the dashed edge of a comment edge to attach a\n * comment to some other edge type.\n * GEF can only attach edges to nodes, by making this fig both a node and\n * containing it as a child of an edge we push the rules to allow edge to edge\n * connections.\n * TODO: We are inheriting a lot of functionality here that we don't really\n * require. We should attempt to make FigEdgePort extend FigNode.\n *\n * @author Bob Tarling\n */",'DESIGN'
'// TODO: This is a temporary crutch to use until all Figs are updated // to use the constructor that accepts a DiagramSettings object','DESIGN'
'/**\n     * Searches for a stereotype just like the given stereotype in all\n     * given models (and their sub-namespaces).\n     * The given stereotype can not have its namespace set yet;\n     * otherwise it will be returned itself!\n     *\n     * TODO: This function should not take a stereotype object as parameter,\n     * but a name and a baseclass. <p>\n     * TODO: Currently only works for stereotypes with only one baseclass. <p>\n     * TODO: Should it only search for stereotypes owned by the Model object? \n     *\n     * @param models a collection of models\n     * @param stereo is the given stereotype\n     * @return Stereotype\n     */','DESIGN'
'/**\n     * Finds a stereotype in a given namespace, \n     * and all those in any sub-namespace of the given namespace.\n     * Returns null if no such stereotype is found.\n     * <p>\n     * TODO: What if stereo.getName() or stereo.getBaseClass() is null?\n     * Then you know immediately that none will be found, but is that the\n     * correct answer?\n     * Currently, null is returned in these cases. <p>\n     * \n     * TODO: This function should not take a stereotype object as parameter,\n     * but a name and a baseclass. <p>\n     * TODO: Currently only works for stereotypes with only one baseclass. <p>\n     * TODO: Currently only works for stereotypes where the baseclass is \n     * equal to the given one - inheritance does not work.\n     * \n     * @return the stereotype found or null.\n     * @param ns is the namespace.\n     * @param stereo is the stereotype.\n     */','DESIGN'
'/**\n     * Creates a UML model element of the given type.\n     * This only works for UML elements. If a diagram contains\n     * elements of another type then it is the responsibility\n     * of the diagram manage those items and not call this\n     * method. It also only works for UML model elements that\n     * are represented in diagrams by a node.\n     *\n     * @param elementType the type of model element to build\n     * @return the model element\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     */','DESIGN'
'/**\n     * Builds a compositestate as top for some statemachine.<p>\n     * TODO: Confusing name: this method should better\n     * be named buildTopStateOnStateMachine.\n     *\n     * @param statemachine The given statemachine\n     * @return MCompositeState The newly build top state\n     * @see #buildCompositeState(Object)\n     */','DESIGN'
'// TODO: MVW: This needs rethinking/rework! I have the following questions: // Why does it not search for a stereotype in the namespace using // properties and only create a new stereotype if it will actually be used? // Ie, why is there not a getStereotype(String name, String baseClass)? // (edited by d00mst)','DESIGN'
'/**\n     * TODO: This functionality is in the worn place. We should be able to\n     * call setVisible on the compartment itself and then this class should\n     * react to that event.\n     * Improvements will follow in later releases.\n     * Hence this method should not be considered stable for module developers.\n     * @param compartment the compartment to be changed\n     * @param isVisible true if the attribute compartment is visible\n     */','DESIGN'
'/**\n     * TODO: This should become private and only called from constructor\n     *\n     * @see org.argouml.uml.diagram.ui.FigCompartment#populate()\n     */','DESIGN'
'/* Remove all items in the group,\n         * otherwise the model event listeners remain:\n         * TODO: Why does a FigGroup not do this? */','DESIGN'
'// TODO: In UML 2.0, ClassifierRole, AssociationRole, and // AssociationEndRole have been replaced by the internal // structure of the Collaboration','DESIGN'
"// TODO: The above populate works but seems rather heavy here. // I can see something like this is needed though as events // won't manage this quick enough. Could we make // FigEditableCompartment.createModelElement() create // the new child Fig instance? It may also be useful // for it to return the new model element rather than // the current void return - Bob.",'DESIGN'
'/*\n         * TODO: Is this needed/correct?\n         * For when all compartments are hidden?\n         */','DESIGN'
"/**\n     * This tag is set on elements that are generated by reference when\n     * importing.\n     * If it is set, then the critics could ignore those objects if they want.\n     * \n     * TODO: This is really belongs in a higher level utility class\n     * that uses the Facade's tagged value methods.  Also, it needs to\n     * be updated to use a UML 1.4 TagDefinition instead of a simple String.\n     */",'DESIGN'
'/**\n     * Recognizer for N-ary Association.\n     *\n     * TODO: This is not a recognizer for some type. Rename to\n     * isNaryAssociation?\n     *\n     * @param handle candidate\n     * @return true if handle is an Association\n     */','DESIGN'
'/* TODO: Is this needed? */','DESIGN'
'/**\n     * Builds an interface with a given name.\n     *\n     * @param name is the given name.\n     * @return Interface\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     */','DESIGN'
'/**\n     * Builds a default implementation for an interface. The interface\n     * is not owned by any model element by default. Users should not\n     * forget to add ownership.\n     *\n     * @return Interface\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     */','DESIGN'
'// Check if labels etc have been hit // Apparently GEF does require PathItems to be "annotations" // which ours aren\'t, so until that is resolved...','DESIGN'
'/**\n     * Create an empty but initialized instance of a UML TemplateParameter.\n     *\n     * @return an initialized UML TemplateParameter instance.\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     */','DESIGN'
'/**\n     * Builds a default implementation for a class. The class is not owned by\n     * any model element by default. Users should not forget to add ownership.\n     *\n     * @return newly created Class\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     */','DESIGN'
'/**\n     * Create an empty but initialized instance of a UML Usage.\n     *\n     * @return an initialized UML Usage instance.\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     */','DESIGN'
'/**\n     * Create an empty but initialized instance of a UML Permission.\n     *\n     * @return an initialized UML Permission instance.\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     * @deprecated for 0.27.3 by tfmorris.  Renamed in UML 2.x to PackageImport.\n     * Use {@link #createPackageImport()}.\n     */','DESIGN'
'/**\n     * Create an empty but initialized instance of a UML Permission.\n     *\n     * @return an initialized UML Permission instance.\n     * TODO: This needs an extra parameter to specify the model/extent where\n     * the new element should be created.\n     */','DESIGN'
'/**\n * Action to add a stereotype to a model element.\n * \n * TODO: Appears to be unused?\n * \n * @author Bob Tarling\n * @deprecated for 0.27.2 by tfmorris.  Use \n * {@link org.argouml.uml.ActionAddStereotype}.\n */','DESIGN'
'/**\n     * Returns the destination of a relation or link. The destination of a\n     * relation is defined as the ModelElement that receives this\n     * relation.  If there are more then 1 destinations, only the\n     * first is returned.  If there is no destination, null is\n     * returned.  Examples of sources include classifiers that are\n     * types to associationends, usecases that are bases to extend and\n     * include relations and so on.  In the case of an association,\n     * the destination is defined as the type of the second element in\n     * the connections list.<p>\n     * \n     * TODO: move this method to a generic ModelHelper\n     *\n     * @param relationship is the relation\n     * @return object\n     */','DESIGN'
'/**\n     * Return the source of a relation or Link. The source of a relation is\n     * defined as the ModelElement that propagates this relation. If\n     * there are more then 1 sources, only the first is returned. If\n     * there is no source, null is returned. Examples of sources\n     * include classifiers that are types to associationends, usecases\n     * that are bases to extend and include relations and so on. A\n     * source is always the start from the arrow in the fig, the\n     * destination the end.<p>\n     * \n     * TODO: move this method to a generic ModelHelper\n     *\n     * @param relationship is the relation\n     * @return Object\n     */','DESIGN'
'/**\n     * Sets the language of an expression.\n     *\n     * TODO: This operation is fooling the user\n     * in thinking that the body of the object is changed.\n     * Instead, a new object is created.\n     * There is no other way: a MExpression can not be altered,\n     * once created!\n     * So, this operation returns a newly created object instead.\n     *\n     * @param handle The expression.\n     * @param language The new language.\n     * @return The newly created Object.\n     */','DESIGN'
'// TODO: Remove the casting to DiagramFactoryInterface2 // as soon as DiagramFactoryInterface is removed.','DESIGN'
'// TODO: Having Critics actions here introduces an unnecessary // dependency on the Critics subsystem.  Have it register its // desired actions using an extension mechanism - tfm','DESIGN'
'/**\n     * True if an instance is allowed to be\n     * invisible. This is currently only set true by FigEdgePort.\n     * TODO: FigEdgePort should be removed from the FigNodeModelElement\n     * hierarchy and so the need for this removed.\n     */','DESIGN'
'// TODO: We really want this class to have package scope however the reflection','DESIGN'
'// TODO: There are lots and LOTS of magic numbers used in calculating // positions and sizes.  Any time you see Figs being placed at 10,10 use // these constants instead.  If you can reliably interpret calculations, // you can factor them out of there as well.  Add additional constants // as needed to express other common factors - tfm 20081201','DESIGN'
'// Name is set to the empty string (yuck!) by default - fix it','DESIGN'
'// TODO: Note copy/paste code in FigExitPoint - where is this code // better placed in GEF?','DESIGN'
'// TODO: Remove the casting to DiagramFactoryInterface2 // as soon as DiagramFactoryInterface is removed.','DESIGN'
"/**\n     * Find a model element in modelElements which name is equal to name.\n     *\n     * @param name the name of the model element to find. It can't be null.\n     * @param modelElements the {@link Collection} of model elements in which\n     * to find a model element with name.\n     * @return the model element if found or null.\n     *\n     * TODO: maybe should be moved to a helper class that deals with Model\n     * related stuff.\n     */",'DESIGN'
'// TODO: We should really set up our own profile instead of depending // on the default. // This depends on the default profile configuration containing the // type Integer to test properly.  Otherwise it will get created in // the main project, defeating the purpose','DESIGN'
"/**\n     * Called by propertyChanged when it detects that a stereotype\n     * has been added or removed. On removal the FigNode removes its\n     * listener to that stereotype. When a new stereotype is detected\n     * we add a listener.\n     * TODO: Bob says: In my opinion we shouldn't be doing this here.\n     * FigStereotype should always be listening to change of its\n     * owners name.\n     * FigStereotypesCompartment should always be listening for add\n     * or remove of Stereotypes to its owner.\n     * Those classes will need to pass some event to the FigNode on\n     * the AWT thread only if a change results in a change of size\n     * that requires a redraw.\n     * <p>NOTE: Runs at the Model (MDR) Thread </p>\n     * @param event the UmlChangeEvent that caused the change\n     */",'DESIGN'
'// TODO: Do we want the top level package here instead of the immediate // parent?','DESIGN'
'// TODO: This creates a dependency on the Critics subsystem. // We need a generic way for modules (including our internal // subsystems) to request addition of actions to the popup // menu. - tfm 20080430','DESIGN'
'/**\n     * This is a template method called by the ArgoUML framework as the result\n     * of a change to a model element. Do not call this method directly\n     * yourself.\n     * <p>Override this in any subclasses in order to change what model\n     * elements the FigNode is listening to as a result of change to the model.\n     * </p>\n     * <p>This method is guaranteed by the framework to be running on the same\n     * thread as the model subsystem.</p>\n     * TODO: Lets refactor this at some time to take UmlChangeEvent argument\n     *\n     * @param event the UmlChangeEvent that caused the change\n     */','DESIGN'
'// TODO: Generalize extension and remove critic specific code','DESIGN'
'/*\n     * TODO: Is this required? Why would the fig already be dashed?\n     * \n     * @see org.tigris.gef.presentation.FigEdge#setFig(\n     *      org.tigris.gef.presentation.Fig)\n     */','DESIGN'
'/**\n     * Prevent underline events if underline does not change.\n     * TODO: GEF should manage this after GEF 0.13.4 is included.\n     */','DESIGN'
'// TODO: Generalize extension and remove critic specific stuff','DESIGN'
'// There shall not be a dependency from ... to ...','DESIGN'
'/**\n     * TODO: Use the following function to have a dropdown set of tools:\n     * ToolBarFactory.addItemsToToolBar(buttonPanel, actions, true);\n     * Instead, this temporary solution:\n     *\n     * @param buttonPanel the toolbar\n     * @param actions an array of actions representing the tool layout\n     */','DESIGN'
'/* TODO: MVW: Why is this not done in GEF? */','DESIGN'
'/**\n     * TODO: Use the following function to have a dropdown set of tools:\n     * ToolBarFactory.addItemsToToolBar(buttonPanel, actions, true);\n     * Instead, this temporary solution:\n     *\n     * @param buttonPanel the toolbar\n     * @param actions an array of actions representing the tool layout\n     */','DESIGN'
"// TODO: We shouldn't need this reflection any more once we have // convinced ourselves that everything with a getItemUID method // is implementing IItemUID",'DESIGN'
'// TODO: Figure out when this is getting thrown //            throw new UnsupportedOperationException();','DESIGN'
'/*\n     * Constraint: This code only deals with 1 supplier per dependency!\n     * TODO: How to support more?\n     * \n     * @see org.argouml.uml.ui.AbstractActionAddModelElement#doIt(java.util.List)\n     */','DESIGN'
'// TODO: the namespace of created events is currently the model. // I think this is wrong, they should be // in the namespace of the activitygraph! //        vec.addAll( //                Model.getModelManagementHelper().getAllModelElementsOfKind( //                        Model.getFacade().getNamespace(getTarget()), //                        Model.getMetaTypes().getEvent()));','DESIGN'
'/**\n     * Changes the font for all Figs contained in the given FigGroup. <p>\n     *\n     *  TODO: In fact, there is a design error in this method:\n     *  E.g. for a class, if the name is Italic since the class is abstract,\n     *  then the classes features should be in Plain font.\n     *  This problem can be fixed by implementing\n     *  the updateFont() method in all subclasses.\n     *\n     * @param fg the FigGroup to change the font of.\n     */','DESIGN'
'// TODO: the namespace of enlisted events is currently the model.  // I think this is wrong, they should be // in the namespace of the activitygraph! //        vec.addAll(Model.getModelManagementHelper().getAllModelElementsOfKind( //                Model.getFacade().getNamespace(getTarget()), //                Model.getMetaTypes().getEvent()));','DESIGN'
'/**\n     * TODO: Move this in FigGroup (in GEF).\n     *\n     * @param scb The suppressCalcBounds to set.\n     */','DESIGN'
'// TODO: Find a way to replace this dependency on Project','DESIGN'
'// update the titleLabel // MVW: This overrules the icon set initiallly... Why do we need this?','DESIGN'
'/**\n     * TODO: This function attempts to optimize the more generic\n     * code in the parent, which also works correctly in this case.\n     * Is this a good idea?\n     */','DESIGN'
'/**\n     * Creates a new checkbox menu item attached to the specified\n     * action object and appends it to the end of this menu.\n     * TODO: This is almost a duplicate of ArgoJMenu.addCheckItem must find a\n     * way to merge.\n     *\n     * @param     a     the Action for the checkbox menu item to be added\n     * @return          the new checkbox menu item\n     */','DESIGN'
'// TODO: This is a temporary crutch to use until all Figs are updated // to use the constructor that accepts a DiagramSettings object','DESIGN'
'// TODO: 21/12/2008 dthompson mouseClicked(me) above consumes the  // mouse event internally, so I suspect that this line might not be  // necessary.','DESIGN'
'// TODO: There is a cyclic dependency between SelectionRerouteEdge // and FigEdgeModelElement','DESIGN'
'/**\n* ActionAddExistingNode enables pasting of an existing node into a Diagram.\n*\n* @author Eugenio Alvarez\n* Data Access Technologies.\n* TODO: Why do we have this class as well as ActionAddExistingNodes?\n*/','DESIGN'
'/**\n     * The constructor.\n     * TODO: The "name" parameter is used for the icon and for the tooltip.\n     * This makes i18n of the tooltip impossible.\n     *\n     * @param modeClass the next global editor mode\n     * @param modeArgs arguments for the new mode\n     * @param name the name of the command that is the tooltip text.\n     */','DESIGN'
"/**\n     * Fix up bad figs.\n     * <p>\n     * Due to errors in earlier releases of argouml it can happen that there is\n     * a generalization without a child or parent.\n     * <p>\n     * TODO: Move into XSL. We should not remove from the graph model while\n     * we're writing to it or we have a possible cause of concurrent\n     * modification exception.\n     * \n     * @param owner\n     */",'DESIGN'
"// TODO: The above doesn't work reliably in a constructor. // We need a better way of getting default fig settings  // for the owning project rather than using the  // project manager singleton. - tfm",'DESIGN'
'/**\n * Defines the methods to generate source code from the model. Each class\n * providing code generation functionality must implement this to be recognized\n * by ArgoUML as a code generator.\n * <p>\n * TODO: A GUI-independent mechanism to pass settings to the code generator is\n * needed similar to what we have for reverse engineering.  See\n * {@link org.argouml.uml.reveng.ImportInterface#getImportSettings()} and\n * {@link org.argouml.uml.reveng.SettingsTypes}\n * \n * @since 0.20 when it replaced the FileGenerator interface.\n */','DESIGN'
'// TODO: This creates a dependency on the Critics subsystem. // We need a generic way for modules (including our internal // subsystems) to request addition of actions to the popup // menu. - tfm 20080430','DESIGN'
'/**\n     * Changes the font for all Figs contained in the given FigGroup. <p>\n     *\n     *  TODO: In fact, there is a design error in this method:\n     *  E.g. for a class, if the name is Italic since the class is abstract,\n     *  then the classes features should be in Plain font.\n     *  This problem can be fixed by implementing\n     *  the updateFont() method in all subclasses.\n     *\n     * @param fg the FigGroup to change the font of.\n     */','DESIGN'
"// Hack: don't show first column, where the model element object is // placed.",'DESIGN'
"// TODO: It doesn't matter what these get set to because GEF can't // draw anything except 1 pixel wide lines",'DESIGN'
'// TODO: Workaround for GEF redraw problem // Force all child figs into the same layer','DESIGN'
'/* This should NOT be looking for a NamedElement,\n         * since this is not always about the name of this\n         * modelelement alone.*/','DESIGN'
